Name,RA,Dec,D,z,Origin,F60,F70,F100,F160,F250,F350,F500,sigma60,sigma70,sigma100,sigma160,sigma250,sigma350,sigma500,L_IR
F00073+2538,09:53.4,+25:55:27.7,1.953438e+24,0.01523,GOALS,,10480.0,14260.0,11850.0,5311.0,2025.9999999999998,718.0,,520.0,710.0,590.0,347.0,134.0,46.0,11.12
F00085-1223,11:06.6,-12:06:28.2,2.51509e+24,0.01962,GOALS,,18210.0,17680.0,10650.0,3573.0,1239.0,339.0,,840.0,810.0,480.0,214.0,75.0,21.0,11.49
F00163-1039,18:50.4,-10:22:05.3,3.4378040000000005e+24,0.027219999999999998,GOALS,,8038.0,9876.0,7496.0,2862.0,1209.0,419.0,,403.0,495.0,375.0,189.0,81.0,33.0,11.48
F00344-3349,36:52.5,-33:33:17.2,2.6354440000000004e+24,0.0206,GOALS,,6195.0,5096.0,2341.0,639.0,216.0,67.0,,276.0,228.0,101.0,38.0,14.0,6.0,11.28
F00402-2349,42:49.3,-23:33:04.3,2.817518e+24,0.02217,GOALS,,14600.0,20000.0,16110.0,6397.0,2441.0,703.0,,560.0,770.0,600.0,323.0,124.0,35.0,11.44
F00506+7248,54:03.9,+73:05:05.9,2.0892220000000003e+24,0.0157,GOALS,,25310.0,29070.0,20340.0,7968.0,2793.0,896.0,,1270.0,1450.0,1020.0,485.0,174.0,57.0,11.5
F00548+4331,57:39.7,+43:47:47.7,2.286726e+24,0.01811,GOALS,,10910.0,13070.0,9945.0,4014.0000000000005,1600.0,478.0,,550.0,650.0,498.0,266.0,108.0,39.0,11.19
F01053-1746,07:47.5,-17:30:25.6,2.536692e+24,0.020069999999999998,GOALS,,25560.0,29280.0,21460.0,8991.0,3277.0,1022.9999999999999,,1280.0,1470.0,1080.0,546.0,201.0,62.0,11.71
F01076-1707,10:08.9,-16:51:09.9,4.159928000000001e+24,0.03349,GOALS,,8996.0,11370.0,8758.0,3077.0,1181.0,349.0,,410.0,510.0,388.0,187.0,74.0,23.0,11.65
F01159-4443,18:08.3,-44:27:51.9,2.7064220000000004e+24,0.02104,GOALS,,9934.0,10880.0,7735.0,2948.0,1155.0,341.0,,498.0,540.0,387.0,194.0,77.0,25.0,11.38
F01173+1405,20:02.6,+14:21:42.3,2.536692e+24,0.03123,GOALS,,11710.0,11330.0,6907.0,2125.0,770.0,230.0,,530.0,510.0,306.0,128.0,48.0,15.0,11.69
F01325-3623,34:51.3,-36:08:14.4,2.536692e+24,0.016,GOALS,,10580.0,16430.0,15260.0,6565.0,2621.0,881.0,,490.0,750.0,680.0,408.0,163.0,56.0,11.06
F01341-3735,36:23.8,-37:19:51.9,2.22192e+24,0.01732,GOALS,,9294.0,12450.0,10600.0,4107.0,1651.0,522.0,,300.0,410.0,360.0,269.0,110.0,38.0,11.16
F01364-1042,38:52.8,-10:27:12.1,5.897346e+24,0.04825,GOALS,,7395.0,6845.0,3989.0,1336.0,517.0,158.0,,334.0,307.0,174.0,80.0,32.0,11.0,11.85
F01417+1651,44:30.6,+17:06:09.0,3.474836e+24,0.027939999999999996,GOALS,,14740.0,13440.0,7770.0,2608.0,995.0,302.0,,670.0,610.0,344.0,156.0,61.0,19.0,11.64
F01484+2220,51:14.3,+22:34:56.0,4.0241440000000003e+24,0.03247,GOALS,,9303.0,13240.0,11200.0,4959.0,1942.0,655.0,,466.0,660.0,560.0,302.0,120.0,47.0,11.68
